YEAR,CONSTITUENCY,NAME,WINNER,PARTY,GENDER,VOTES,ELECTORS,VOTERS,VALID VOTES
1996,ROYAPURAM,"ERA, MATHIVANAN",W,DMK,M,44893,130238,79431,77702
1996,ROYAPURAM,D. JAYAKUMAR,N,ADMK,M,27485,130238,79431,77702
1996,ROYAPURAM,S. MOHAN,N,MDMK,M,2793,130238,79431,77702
1996,ROYAPURAM,V. GNANAM,N,PMK,M,1201,130238,79431,77702
1996,ROYAPURAM,NANNURI VENKATESWARA RAO,N,BJP,M,675,130238,79431,77702
1996,ROYAPURAM,K.JAGANATHAN,N,IND,M,89,130238,79431,77702
1996,ROYAPURAM,C. SHOBANA RANI,N,IND,F,82,130238,79431,77702
1996,ROYAPURAM,GOVINDAMMAL GANDHI,N,IND,F,76,130238,79431,77702
1996,ROYAPURAM,A.SEKAR,N,IND,M,58,130238,79431,77702
1996,ROYAPURAM,G.SIVAKUMAR,N,IND,M,50,130238,79431,77702
1996,ROYAPURAM,K.J. GOPAL,N,IND,M,49,130238,79431,77702
1996,ROYAPURAM,R. GNANASEKARAN,N,IND,M,46,130238,79431,77702
1996,ROYAPURAM,K.S. RAJAN BABU,N,IND,M,42,130238,79431,77702
1996,ROYAPURAM,R. VENKATESWARAN,N,IND,M,42,130238,79431,77702
1996,ROYAPURAM,A. KANDHASAMY,N,IND,M,32,130238,79431,77702
1996,ROYAPURAM,R. ANANTHARAJ,N,IND,M,31,130238,79431,77702
1996,ROYAPURAM,A.SRI RAMAN,N,IND,M,30,130238,79431,77702
1996,ROYAPURAM,P.SELVARAJ,N,IND,M,28,130238,79431,77702
1996,HARBOUR,"ANBAZHAGAN,K",W,DMK,M,39263,103285,56713,55638
1996,HARBOUR,EARNEST PAUL,N,INC,M,9007,103285,56713,55638
1996,HARBOUR,"BASHEER AHAMED,H",N,MDMK,M,4576,103285,56713,55638
1996,HARBOUR,"DHANANJAYAN,K",N,BJP,M,2352,103285,56713,55638
1996,HARBOUR,"ARUMUGAM,K",N,PMK,M,168,103285,56713,55638
1996,HARBOUR,"ALAGARSAMY,M",N,IND,M,44,103285,56713,55638
1996,HARBOUR,"SEKAR,A.T.",N,IND,M,32,103285,56713,55638
1996,HARBOUR,"SIVASHANMUGAM,M",N,IND,M,20,103285,56713,55638
1996,HARBOUR,"NAGARAJAN,R",N,IND,M,18,103285,56713,55638
1996,HARBOUR,"ELANGOVAN,S.E.",N,IND,M,18,103285,56713,55638
1996,HARBOUR,"MOHAN,N",N,IND,M,16,103285,56713,55638
1996,HARBOUR,"CHOKKALINGAM, P.K.",N,IND,M,15,103285,56713,55638
1996,HARBOUR,"SAMBANDAN,N",N,IND,M,12,103285,56713,55638
1996,HARBOUR,"ABDUL RAHMAN,K.",N,IND,M,10,103285,56713,55638
1996,HARBOUR,"CHANDRASEKARAN,G.",N,IND,M,10,103285,56713,55638
1996,HARBOUR,"ASHOK,V.",N,IND,M,10,103285,56713,55638
1996,HARBOUR,"SEENI MOHAMED,K.",N,IND,M,10,103285,56713,55638
1996,HARBOUR,"AMIR HAMSA, K.K.M.",N,IND,M,6,103285,56713,55638
1996,HARBOUR,"RADHAKRISHNAN,G.",N,IND,M,6,103285,56713,55638
1996,HARBOUR,"MANI,G.",N,IND,M,5,103285,56713,55638
1996,HARBOUR,"SAIK MOHAMED,A.",N,IND,M,5,103285,56713,55638
1996,HARBOUR,"NARAYANAN,S.",N,IND,M,5,103285,56713,55638
1996,HARBOUR,"ANNAMALAI,K",N,IND,M,4,103285,56713,55638
1996,HARBOUR,"MUHAMED ILAHI,R.",N,IND,M,3,103285,56713,55638
1996,HARBOUR,"JALALUDEEN,J.",N,IND,M,3,103285,56713,55638
1996,HARBOUR,"RAVI,A.",N,IND,M,3,103285,56713,55638
1996,HARBOUR,"AMUDHA,D.",N,IND,F,3,103285,56713,55638
1996,HARBOUR,"RAVI SHANKER,M.",N,IND,M,3,103285,56713,55638
1996,HARBOUR,"ALEXANDER,E.",N,IND,M,3,103285,56713,55638
1996,HARBOUR,"ABDUL KASIM,K.",N,IND,M,2,103285,56713,55638
1996,HARBOUR,"AYUBKHAN,E.",N,IND,M,2,103285,56713,55638
1996,HARBOUR,"RAJAMANNAR, P.V.",N,IND,M,2,103285,56713,55638
1996,HARBOUR,"MATHI ARASU,S.",N,IND,M,2,103285,56713,55638
1996,DR. RADHAKRISHNAN NAGAR,"SARKUNAM, S.P.",W,DMK,F,75125,220586,124510,120928
1996,DR. RADHAKRISHNAN NAGAR,"RAVEENDRAN,R.M.D.",N,ADMK,M,32044,220586,124510,120928
1996,DR. RADHAKRISHNAN NAGAR,"SIVA,G.V.",N,MDMK,M,9788,220586,124510,120928
1996,DR. RADHAKRISHNAN NAGAR,"PANNEERSELVAM,M.",N,AIIC(T),M,1369,220586,124510,120928
1996,DR. RADHAKRISHNAN NAGAR,"PARTHIBAN,T.A.G.",N,BJP,M,1149,220586,124510,120928
1996,DR. RADHAKRISHNAN NAGAR,"SELVI, U.",N,IND,F,150,220586,124510,120928
